Mods count: 158
 
jar name                                                                               | mod id (isMCreator)                                      | mixin configs
    /META-INF/jars/exp4j-0.4.8.jar                                                     | net_objecthunter_exp4j                                   | 
    /META-INF/jars/threadly-7.0.jar                                                    | org_threadly_threadly                                    | 
    /META-INF/jars/toml-3.6.5.jar                                                      | com_electronwill_night-config_toml                       | 
carryon-fabric-1.20.1-2.1.2.7.jar                                                      | carryon                                                  | carryon.mixins.json, carryon.fabric.mixins.json
cc-tweaked-1.20.1-fabric-1.117.1.jar                                                   | computercraft                                            | computercraft.fabric.mixins.json, computercraft-client.fabric.mixins.json
    /META-INF/jars/cobalt-0.9.7.jar                                                    | cc_tweaked_cobalt                                        | 
    /META-INF/jars/core-3.8.3.jar                                                      | com_electronwill_night-config_core                       | 
    /META-INF/jars/jzlib-1.1.3.jar                                                     | com_jcraft_jzlib                                         | 
    /META-INF/jars/netty-codec-http-4.1.82.Final.jar                                   | io_netty_netty-codec-http                                | 
    /META-INF/jars/netty-codec-socks-4.1.82.Final.jar                                  | io_netty_netty-codec-socks                               | 
    /META-INF/jars/netty-handler-proxy-4.1.82.Final.jar                                | io_netty_netty-handler-proxy                             | 
    /META-INF/jars/toml-3.8.3.jar                                                      | com_electronwill_night-config_toml                       | 
charm-fabric-1.20.1-forked-6.0.25.jar                                                  | charm                                                    | charm.mixins.json
    /META-INF/jars/toml4j-0.7.2.jar                                                    | com_moandjiezana_toml_toml4j                             | 
    /META-INF/jars/core-3.6.6.jar                                                      | com_electronwill_night-config_core                       | 
    /META-INF/jars/toml-3.6.6.jar                                                      | com_electronwill_night-config_toml                       | 
    /META-INF/jars/charmony-fabric-1.20.1-6.15.1.jar                                   | charmony                                                 | charmony.mixins.json
        /META-INF/jars/toml4j-0.7.2.jar                                                | com_moandjiezana_toml_toml4j                             | 
        /META-INF/jars/core-3.6.6.jar                                                  | com_electronwill_night-config_core                       | 
        /META-INF/jars/toml-3.6.6.jar                                                  | com_electronwill_night-config_toml                       | 
chat_heads-0.15.0-fabric-1.20.jar                                                      | chat_heads                                               | chat_heads.mixins.json, chat_heads.fabric.mixins.json
chipped-fabric-1.20.1-3.0.7.jar                                                        | chipped                                                  | chipped-common.mixins.json
Chunky-1.3.146.jar                                                                     | chunky                                                   | chunky.mixins.json
cinderscapes-4.0.10.jar                                                                | cinderscapes                                             | 
    /META-INF/jars/cinderscapes-client-4.0.10.jar                                      | cinderscapes-client                                      | 
    /META-INF/jars/cinderscapes-common-4.0.10.jar                                      | cinderscapes-common                                      | mixins.cinderscapes-common.json
    /META-INF/jars/cinderscapes-worldgen-4.0.10.jar                                    | cinderscapes-worldgen                                    | mixins.cinderscapes-worldgen.json
    /META-INF/jars/terraform-biome-remapper-api-v1-7.0.3.jar                           | terraform-biome-remapper-api-v1                          | mixins.terraform-biome-remapper.json
    /META-INF/jars/terraform-shapes-api-v1-7.0.3.jar                                   | terraform-shapes-api-v1                                  | 
    /META-INF/jars/terraform-surfaces-api-v1-7.0.3.jar                                 | terraform-surfaces-api-v1                                | 
    /META-INF/jars/terraform-wood-api-v1-7.0.3.jar                                     | terraform-wood-api-v1                                    | mixins.terraform-boats.json, mixins.terraform-wood.json, mixins.terraform-signs.json, mixins.terraform-leaves.json
    /META-INF/jars/cloth-config-fabric-11.0.99.jar                                     | cloth-config                                             | 
        /META-INF/jars/basic-math-0.6.1.jar                                            | cloth-basic-math                                         | 
    /META-INF/jars/biolith-1.0.0-beta.1.jar                                            | biolith                                                  | biolith.mixins.json
        /META-INF/jars/terraform-surfaces-api-v1-7.0.2.jar                             | terraform-surfaces-api-v1                                | 
cloth-config-11.1.136-fabric.jar                                                       | cloth-config                                             | 
    /META-INF/jars/basic-math-0.6.1.jar                                                | cloth-basic-math                                         | 
collective-1.20.1-8.13.jar                                                             | collective                                               | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json
comforts-fabric-6.4.0+1.20.1.jar                                                       | comforts                                                 | comforts.mixins.json, comforts.fabric.mixins.json
    /META-INF/jars/cardinal-components-base-5.2.1.jar                                  | cardinal-components-base                                 | 
    /META-INF/jars/cardinal-components-entity-5.2.1.jar                                | cardinal-components-entity                               | mixins.cardinal_components_entity.json
    /META-INF/jars/spectrelib-fabric-0.13.15+1.20.1.jar                                | spectrelib                                               | spectrelib.mixins.json
        /META-INF/jars/core-3.6.5.jar                                                  | com_electronwill_night-config_core                       | 
        /META-INF/jars/toml-3.6.5.jar                                                  | com_electronwill_night-config_toml                       | 
compatapi-1.0.3.jar                                                                    | compatapi                                                | compatapi.mixins.json, compatapi.client.mixins.json
compatstructures-1.0.3.jar                                                             | compatstructures                                         | compatstructures.client.mixins.json, compatstructures.mixins.json
continuity-3.0.0+1.20.1.jar                                                            | continuity                                               | continuity.mixins.json
Controlling-fabric-1.20.1-12.0.2.jar                                                   | controlling                                              | controlling.mixins.json, controlling.fabric.mixins.json
copycats-3.0.7+mc.1.20.1-fabric.jar                                                    | copycats                                                 | copycats-fabric.mixins.json, copycats-common.mixins.json
CrashAssistant-fabric-1.19-1.20.1-1.11.3.jar                                           | crash_assistant                                          | crash_assistant-fabric.mixins.json, crash_assistant.mixins.json
    /META-INF/jarjar/app.jar                                                           |                                                          | 
create-fabric-6.0.8.1+build.1744-mc1.20.1.jar                                          | create                                                   | create.mixins.json
    /META-INF/jars/Ponder-Fabric-1.20.1-1.0.91.jar                                     | ponder                                                   | ponder-common.mixins.json, ponder.mixins.json
        /META-INF/jars/base-2.3.12+1.20.1.jar                                          | porting_lib_base                                         | porting_lib_base.mixins.json
            /META-INF/jars/porting_lib_extensions-2.3.12+1.20.1.jar                    | porting_lib_extensions                                   | porting_lib_extensions.mixins.json
            /META-INF/jars/porting_lib_gui_utils-2.3.12+1.20.1.jar                     | porting_lib_gui_utils                                    | porting_lib_gui_utils.mixins.json
            /META-INF/jars/porting_lib_lazy_registration-2.3.12+1.20.1.jar             | porting_lib_lazy_registration                            | 
            /META-INF/jars/porting_lib_tags-2.3.12+1.20.1.jar                          | porting_lib_tags                                         | porting_lib_tags.mixins.json
            /META-INF/jars/toml-3.6.6.jar                                              | com_electronwill_night-config_toml                       | 
            /META-INF/jars/reach-entity-attributes-2.4.0.jar                           | reach-entity-attributes                                  | mixins.reach-entity-attributes.json
            /META-INF/jars/porting_lib_core-2.3.12+1.20.1.jar                          | porting_lib_core                                         | 
            /META-INF/jars/porting_lib_entity-2.3.12+1.20.1.jar                        | porting_lib_entity                                       | porting_lib_entity.mixins.json
            /META-INF/jars/porting_lib_accessors-2.3.12+1.20.1.jar                     | porting_lib_accessors                                    | porting_lib_accessors.mixins.json
            /META-INF/jars/porting_lib_tool_actions-2.3.12+1.20.1.jar                  | porting_lib_tool_actions                                 | porting_lib_tool_actions.mixins.json
            /META-INF/jars/porting_lib_fluids-2.3.12+1.20.1.jar                        | porting_lib_fluids                                       | porting_lib_fluids.mixins.json
            /META-INF/jars/porting_lib_common-2.3.12+1.20.1.jar                        | porting_lib_common                                       | porting_lib_common.mixins.json
            /META-INF/jars/porting_lib_config-2.3.12+1.20.1.jar                        | porting_lib_config                                       | porting_lib_config.mixins.json
            /META-INF/jars/porting_lib_utility-2.3.12+1.20.1.jar                       | porting_lib_utility                                      | 
            /META-INF/jars/porting_lib_mixin_extensions-2.3.12+1.20.1.jar              | porting_lib_mixin_extensions                             | porting_lib_mixin_extensions.mixins.json
